country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","18-04-2026 22:00:00",25.339605,74.618883,CO,24,66,31
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","18-04-2026 22:00:00",28.194909,76.862296,PM2.5,30,305,100
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","18-04-2026 22:00:00",28.194909,76.862296,SO2,1,79,19
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","18-04-2026 22:00:00",28.207266,76.829265,NO2,8,123,49
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","18-04-2026 22:00:00",28.018792,73.292658,PM2.5,22,73,45
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","18-04-2026 22:00:00",21.51161,86.89088,CO,27,54,29
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","18-04-2026 22:00:00",22.1166054,85.3945546,CO,50,86,62
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","18-04-2026 22:00:00",21.941841,86.728318,NH3,1,1,1
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","18-04-2026 22:00:00",21.941841,86.728318,SO2,1,13,7
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","18-04-2026 22:00:00",21.941841,86.728318,CO,9,32,24
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","18-04-2026 22:00:00",20.240790,85.836784,NO2,2,12,7
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","18-04-2026 22:00:00",20.240790,85.836784,CO,14,40,31
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","18-04-2026 22:00:00",20.34652,85.81630,CO,71,82,76
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","18-04-2026 22:00:00",22.06156703,85.47409613,PM2.5,52,260,136
India,Punjab,Patiala,"Model Town, Patiala - PPCB","18-04-2026 22:00:00",30.349388,76.366642,OZONE,15,53,34
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","18-04-2026 22:00:00",31.0325454,76.5623046,PM2.5,12,31,17
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","18-04-2026 22:00:00",31.0325454,76.5623046,SO2,13,20,16
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","18-04-2026 22:00:00",26.470859,74.646594,NO2,19,36,29
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","18-04-2026 22:00:00",26.470859,74.646594,SO2,10,17,11
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","18-04-2026 22:00:00",27.554793,76.611536,PM2.5,NA,NA,NA
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","18-04-2026 22:00:00",23.555190,74.440010,NH3,2,8,4
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","18-04-2026 22:00:00",23.555190,74.440010,CO,18,63,37
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","18-04-2026 22:00:00",31.620000,74.876512,PM2.5,53,83,62
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","18-04-2026 22:00:00",30.233011,74.907758,PM2.5,29,93,59
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","18-04-2026 22:00:00",31.321907,75.578914,NH3,7,7,7
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","18-04-2026 22:00:00",31.321907,75.578914,SO2,22,23,22
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","18-04-2026 22:00:00","30.736056 ",76.209694,NH3,7,8,7
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","18-04-2026 22:00:00",30.9028,75.8086,CO,33,90,38
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","18-04-2026 22:00:00",30.9028,75.8086,OZONE,24,48,42
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB","18-04-2026 22:00:00",25.5803419,91.8942571,NO2,23,44,33
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","18-04-2026 22:00:00",25.5586,91.8985,SO2,9,10,10
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","18-04-2026 22:00:00",25.6635413,94.0989878,NO2,3,4,4
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","18-04-2026 22:00:00",25.6635413,94.0989878,SO2,11,38,27
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","18-04-2026 22:00:00",25.6635413,94.0989878,OZONE,2,9,2
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","18-04-2026 22:00:00",21.51161,86.89088,PM2.5,2,58,20
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","18-04-2026 22:00:00",21.51161,86.89088,NO2,1,22,8
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","18-04-2026 22:00:00",18.573040,73.927715,NO2,8,68,36
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","18-04-2026 22:00:00",18.573040,73.927715,CO,26,103,74
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","18-04-2026 22:00:00",18.536457,73.805454,OZONE,2,59,43
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","18-04-2026 22:00:00",18.530085,73.849598,SO2,7,91,34
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","18-04-2026 22:00:00",18.530085,73.849598,OZONE,5,72,46
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","18-04-2026 22:00:00",17.6336264,75.9132495,CO,12,107,49
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","18-04-2026 22:00:00",17.6336264,75.9132495,OZONE,5,91,46
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","18-04-2026 22:00:00",17.65439,75.90649,NO2,18,153,58
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","18-04-2026 22:00:00",19.26777,72.97182,PM10,65,102,81
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","18-04-2026 22:00:00",19.26777,72.97182,NO2,7,30,16
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","18-04-2026 22:00:00",19.222279,72.957979,PM10,NA,NA,NA
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","18-04-2026 22:00:00",19.222279,72.957979,SO2,NA,NA,NA
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","18-04-2026 22:00:00",19.235581,73.159121,PM2.5,42,105,76
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","18-04-2026 22:00:00",21.8004996,83.8396977,OZONE,NA,NA,NA
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","18-04-2026 22:00:00",20.94185,86.11510,PM10,26,90,58
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","18-04-2026 22:00:00","20.48891     ","85.84768     ",PM10,51,89,72
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","18-04-2026 22:00:00",21.847279,85.416905,PM2.5,36,128,67
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB","18-04-2026 22:00:00",22.18972222,84.86277778,NO2,NA,NA,NA
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","18-04-2026 22:00:00",22.220833,84.809444,SO2,5,7,6
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","18-04-2026 22:00:00",22.220833,84.809444,OZONE,7,22,17
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","18-04-2026 22:00:00",21.606865,85.510538,NH3,4,4,4
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","18-04-2026 22:00:00",25.771061," 73.340227",PM10,50,126,97
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","18-04-2026 22:00:00",24.041198,74.780702,PM2.5,13,75,44
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","18-04-2026 22:00:00",24.041198,74.780702,NH3,NA,NA,NA
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB","18-04-2026 22:00:00",25.036360,73.883502,NO2,10,39,23
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB","18-04-2026 22:00:00",25.036360,73.883502,OZONE,15,86,67
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","18-04-2026 22:00:00",26.031443,76.359327,NO2,1,127,29
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","18-04-2026 22:00:00",26.031443,76.359327,CO,24,118,70
